,First Name,Last Name,University of Ph.D.,University of Ph.D. ID,Department of Ph.D.,Year of Ph.D.,School of Faculty Position,Current School ID,Department of Faculty Position,Year Faculty Started,Job Title,
49,Neville,Hoad,Columbia University,246,Unspecified,1998,University of Texas at Austin,49,English,Unspecified,Associate Professor,
50,Heather,Houser,Stanford University,232,Unspecified,2010,University of Texas at Austin,49,English,Unspecified,Associate Professor ,
51,Coleman,Hutchison,Northwestern University,235,Unspecified,2006,University of Texas at Austin,49,English,Unspecified,"Associate Professor, Associate Chair of the English Department",
52,Sara,Kimball,University of Pennsylvania,144,Unspecified,1983,University of Texas at Austin,49,English,Unspecified,Associate Professor,
53,David,Kornhaber,Columbia University,246,Unspecified,2009,University of Texas at Austin,49,English,Unspecified,"Associate Professor; Graduate Adviser, Program in Comparative Literature",
54,Wayne,Lesser,University of Chicago,122,Unspecified,1975,University of Texas at Austin,49,English,Unspecified,Associate Professor,
55,Mark,Garrett Longaker,Pennsylvania State University,145,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,"Associate Chair, Department of Rhetoric and Writing",
56,Allen,MacDuffie,Harvard University,22,Unspecified,2007,University of Texas at Austin,49,English,Unspecified,Associate Professor,
57,Eric,Mallin,Stanford University,232,Unspecified,1986,University of Texas at Austin,49,English,Unspecified,Associate Professor,
58,Neil,Nehring,University of Michigan,108,Unspecified,1985,University of Texas at Austin,49,English,Unspecified,Associate Professor,
59,Domino,Perez,University of Nebraska at Lincoln,135,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Associate Professor,
60,Matt,Richardson,University of California at Berkeley,1,2005,African Diaspora Studies,University of Texas at Austin,49,English,Unspecified,Associate Professor,
61,Elizabeth,Richmond-Garza,Columbia University,246,Unspecified,1992,University of Texas at Austin,49,English,Unspecified,"University Distinguished Teaching Associate Professor, Director of the Program in Comparative Literature",
62,Snehal,Shingavi,University of California at Berkeley,1,Unspecified,2009,University of Texas at Austin,49,English,Unspecified,Faculty,
63,Jennifer,Wilks,Cornell University,245,Unspecified,2003,University of Texas at Austin,49,English,Unspecified,Associate Professor,
64,Helena,Woodard,University of North Carolina,100,English,1991,University of Texas at Austin,49,English,Unspecified,Associate Professor,
65,Chad,Bennett,Cornell University,245,Unspecified,2011,University of Texas at Austin,49,English,Unspecified,Assistant Professor,
66,Casey,Boyle,University of South Carolina,139,Unspecified,2011,University of Texas at Austin,49,English,Unspecified,Faculty,
67,Donna,Kornhaber,Columbia University,246,Unspecified,2009,University of Texas at Austin,49,English,Unspecified,Assistant Professor ,
68,Julie,Minich,Stanford University,232,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Assistant Professor,
69,Betsy,Berry,University of Texas at Austin,49,Unspecified,1994,University of Texas at Austin,49,English,Unspecified,Senior Lecturer,
70,Brian,Doherty,University of Wisconsin-Milwaukee,17,Unspecified,1994,University of Texas at Austin,49,English,Unspecified,Senior Lecturer,
71,George,Christian,University of Texas at Austin,49,Unspecified,2000,University of Texas at Austin,49,English,Unspecified,Adjunct Professor,
72,Patricia,García,Texas A&M, University,32,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Lecturer
73,Paul,Sullivan,University of Texas at Austin,49,Unspecified,2005,University of Texas at Austin,49,English,Unspecified,Lecturer,
74,James,Ayres,Ohio State University,172,Unspecified,1964,University of Texas at Austin,49,English,Unspecified,Shakespeare at Winedale Regents Professor and University Distinguished Teaching Professor Emeritus,
75,Jeffrey,Barnouw,Yale University,21,Unspecified,1969,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
76,Thomas,Cable,University of Texas at Austin,49,Unspecified,1969,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
77,Norman,Farmer,University of Pennsylvania,144,Unspecified,1966,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
78,John,Farrell,Indiana University,184,Unspecified,1967,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
79,James,Garrison,University of California at Berkeley,1,Unspecified,1972,University of Texas at Austin,49,English,Unspecified,University Distinguished Teaching Professor,
80,Rolando,Hinojosa-Smith,University of Illinois,117,Unspecified,Unspecified,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
81,Joseph,Kruppa,Johns Hopkins University,244,Unspecified,1964,University of Texas at Austin,49,English,Unspecified,Professor Emeritus ,
82,Joseph,Malof,University of California Los Angeles,2,Unspecified,1962,University of Texas at Austin,49,English,Unspecified,Professor Emeritus,
